pos_x, pos_y, theta (rad)
-0.492539, 1.39938, 0.426666
-0.493263, 1.40518, 0.428333
-0.493977, 1.41097, 0.43
-0.494681, 1.41677, 0.431666
-0.495376, 1.42257, 0.433333
-0.496061, 1.42836, 0.435
-0.496737, 1.43417, 0.436666
-0.497402, 1.43997, 0.438333
-0.498058, 1.44577, 0.44
-0.498705, 1.45157, 0.441666
-0.499341, 1.45738, 0.443333
-0.499969, 1.46318, 0.445
-0.500586, 1.46899, 0.446666
-0.501194, 1.4748, 0.448333
-0.501792, 1.4806, 0.45
-0.50238, 1.48641, 0.451666
-0.502959, 1.49222, 0.453333
-0.503528, 1.49804, 0.455
-0.504087, 1.50385, 0.456666
-0.504637, 1.50966, 0.458333
-0.505176, 1.51548, 0.46
-0.505707, 1.52129, 0.461666
-0.506227, 1.52711, 0.463333
-0.506738, 1.53292, 0.465
-0.507239, 1.53874, 0.466666
-0.50773, 1.54456, 0.468333
-0.508212, 1.55038, 0.47
-0.508684, 1.5562, 0.471666
-0.509147, 1.56202, 0.473333
-0.509599, 1.56784, 0.475
-0.510042, 1.57366, 0.476666
-0.510476, 1.57949, 0.478333
-0.510899, 1.58531, 0.48
-0.511313, 1.59114, 0.481666
-0.511717, 1.59696, 0.483333
-0.512111, 1.60279, 0.485
-0.512496, 1.60861, 0.486666
-0.512871, 1.61444, 0.488333
-0.513236, 1.62027, 0.49
-0.513592, 1.6261, 0.491666
-0.513938, 1.63193, 0.493333
-0.514274, 1.63776, 0.495
-0.5146, 1.64359, 0.496666
-0.514917, 1.64942, 0.498333
-0.515224, 1.65525, 0.5
-0.515521, 1.66108, 0.501666
-0.515809, 1.66691, 0.503333
-0.516087, 1.67274, 0.505
-0.516355, 1.67858, 0.506666
-0.516613, 1.68441, 0.508333
-0.516862, 1.69024, 0.51
-0.517101, 1.69608, 0.511666
-0.51733, 1.70191, 0.513333
-0.517549, 1.70775, 0.515
-0.517759, 1.71358, 0.516666
-0.517959, 1.71942, 0.518333
-0.518149, 1.72526, 0.52
-0.51833, 1.73109, 0.521666
-0.518501, 1.73693, 0.523333
-0.518662, 1.74277, 0.525
-0.518813, 1.7486, 0.526666
-0.518955, 1.75444, 0.528333
-0.519087, 1.76028, 0.53
-0.519209, 1.76612, 0.531666
-0.519321, 1.77195, 0.533333
-0.519424, 1.77779, 0.535
-0.519517, 1.78363, 0.536666
-0.5196, 1.78947, 0.538333
-0.519674, 1.79531, 0.54
-0.519738, 1.80115, 0.541666
-0.519792, 1.80699, 0.543333
-0.519836, 1.81283, 0.545
-0.519871, 1.81866, 0.546666
-0.519896, 1.8245, 0.548333
-0.519911, 1.83034, 0.55
-0.519916, 1.83618, 0.551666
-0.519912, 1.84202, 0.553333
-0.519898, 1.84786, 0.555
-0.519874, 1.8537, 0.556666
-0.519841, 1.85954, 0.558333
-0.519798, 1.86538, 0.56
-0.519744, 1.87122, 0.561666
-0.519682, 1.87706, 0.563333
-0.519609, 1.88289, 0.565
-0.519527, 1.88873, 0.566666
-0.519435, 1.89457, 0.568333
-0.519334, 1.90041, 0.57
-0.519222, 1.90625, 0.571666
-0.519101, 1.91209, 0.573333
-0.51897, 1.91792, 0.575
-0.51883, 1.92376, 0.576666
-0.518679, 1.9296, 0.578333
-0.518519, 1.93544, 0.58
-0.51835, 1.94127, 0.581666
-0.51817, 1.94711, 0.583333
-0.517981, 1.95295, 0.585
-0.517782, 1.95878, 0.586666
-0.517574, 1.96462, 0.588333
-0.517355, 1.97045, 0.589999
-0.517127, 1.97629, 0.591666
-0.516889, 1.98212, 0.593333
-0.516642, 1.98796, 0.594999
-0.516384, 1.99379, 0.596666
-0.516118, 1.99962, 0.598333
-0.515841, 2.00545, 0.599999
-0.515554, 2.01129, 0.601666
-0.515258, 2.01712, 0.603333
-0.514952, 2.02295, 0.604999
-0.514637, 2.02878, 0.606666
-0.514312, 2.03461, 0.608333
-0.513976, 2.04044, 0.609999
-0.513632, 2.04627, 0.611666
-0.513277, 2.0521, 0.613333
-0.512913, 2.05793, 0.614999
-0.512539, 2.06375, 0.616666
-0.512156, 2.06958, 0.618333
-0.511762, 2.07541, 0.619999
-0.511359, 2.08123, 0.621666
-0.510947, 2.08706, 0.623333
-0.510524, 2.09288, 0.624999
-0.510092, 2.0987, 0.626666
-0.50965, 2.10452, 0.628333
-0.509199, 2.11035, 0.629999
-0.508738, 2.11617, 0.631666
-0.508267, 2.12199, 0.633333
-0.507786, 2.12781, 0.634999
-0.507296, 2.13363, 0.636666
-0.506795, 2.13944, 0.638333
-0.506286, 2.14526, 0.639999
-0.505766, 2.15108, 0.641666
-0.505237, 2.15689, 0.643333
-0.504699, 2.16271, 0.644999
-0.50415, 2.16852, 0.646666
-0.503592, 2.17433, 0.648333
-0.503024, 2.18014, 0.649999
-0.502446, 2.18595, 0.651666
-0.501859, 2.19176, 0.653333
-0.501262, 2.19757, 0.654999
-0.500655, 2.20338, 0.656666
-0.500039, 2.20919, 0.658333
-0.499413, 2.21499, 0.659999
-0.498778, 2.2208, 0.661666
-0.498132, 2.2266, 0.663333
-0.497477, 2.2324, 0.664999
-0.496813, 2.2382, 0.666666
-0.496139, 2.244, 0.668333
-0.495455, 2.2498, 0.669999
-0.494761, 2.2556, 0.671666
-0.494058, 2.2614, 0.673333
-0.493345, 2.26719, 0.674999
-0.492622, 2.27299, 0.676666
-0.491889, 2.27878, 0.678333
-0.491148, 2.28457, 0.679999
-0.490396, 2.29036, 0.681666
-0.489635, 2.29615, 0.683333
-0.488864, 2.30194, 0.684999
-0.488083, 2.30773, 0.686666
-0.487293, 2.31351, 0.688333
-0.486493, 2.3193, 0.689999
-0.485684, 2.32508, 0.691666
-0.484865, 2.33086, 0.693333
-0.484036, 2.33664, 0.694999
-0.483198, 2.34242, 0.696666
-0.48235, 2.3482, 0.698333
-0.481492, 2.35397, 0.699999
-0.480625, 2.35975, 0.701666
-0.479748, 2.36552, 0.703333
-0.478862, 2.37129, 0.704999
-0.477966, 2.37706, 0.706666
-0.47706, 2.38283, 0.708333
-0.476144, 2.3886, 0.709999
-0.475219, 2.39436, 0.711666
-0.474285, 2.40013, 0.713333
-0.473341, 2.40589, 0.714999
-0.472387, 2.41165, 0.716666
-0.471424, 2.41741, 0.718333
-0.470451, 2.42317, 0.719999
-0.469468, 2.42892, 0.721666
-0.468476, 2.43468, 0.723333
-0.467474, 2.44043, 0.724999
-0.466463, 2.44618, 0.726666
-0.465442, 2.45193, 0.728333
-0.464412, 2.45768, 0.729999
-0.463372, 2.46342, 0.731666
-0.462322, 2.46917, 0.733333
-0.461263, 2.47491, 0.734999
-0.460194, 2.48065, 0.736666
-0.459116, 2.48639, 0.738333
-0.458028, 2.49213, 0.739999
-0.45693, 2.49786, 0.741666
-0.455823, 2.5036, 0.743333
-0.454707, 2.50933, 0.744999
-0.45358, 2.51506, 0.746666
-0.452445, 2.52079, 0.748333
-0.4513, 2.52651, 0.749999
-0.450145, 2.53224, 0.751666
-0.448981, 2.53796, 0.753333
-0.447807, 2.54368, 0.754999
-0.446623, 2.54939, 0.756666
-0.445431, 2.55511, 0.758333
-0.444228, 2.56083, 0.759999
-0.443016, 2.56654, 0.761666
-0.441795, 2.57225, 0.763333
-0.440563, 2.57796, 0.764999
-0.439323, 2.58366, 0.766666
-0.438073, 2.58937, 0.768333
-0.436814, 2.59507, 0.769999
-0.435544, 2.60077, 0.771666
-0.434266, 2.60646, 0.773333
-0.432978, 2.61216, 0.774999
-0.431681, 2.61785, 0.776666
-0.430374, 2.62354, 0.778333
-0.429057, 2.62923, 0.779999
-0.427731, 2.63492, 0.781666
-0.426396, 2.6406, 0.783333
-0.425051, 2.64629, 0.784999
-0.423697, 2.65197, 0.786666
-0.422333, 2.65764, 0.788333
-0.420959, 2.66332, 0.789999
-0.419577, 2.66899, 0.791666
-0.418185, 2.67466, 0.793333
-0.416783, 2.68033, 0.794999
-0.415372, 2.686, 0.796666
-0.413951, 2.69166, 0.798333
-0.412521, 2.69732, 0.799999
-0.411082, 2.70298, 0.801666
-0.409633, 2.70864, 0.803333
-0.408175, 2.71429, 0.804999
-0.406707, 2.71994, 0.806666
-0.40523, 2.72559, 0.808333
-0.403744, 2.73124, 0.809999
-0.402248, 2.73689, 0.811666
-0.400743, 2.74253, 0.813333
-0.399228, 2.74817, 0.814999
-0.397704, 2.7538, 0.816666
-0.39617, 2.75944, 0.818333
-0.394627, 2.76507, 0.819999
-0.393075, 2.7707, 0.821666
-0.391513, 2.77633, 0.823333
-0.389942, 2.78195, 0.824999
-0.388362, 2.78757, 0.826666
-0.386772, 2.79319, 0.828333
-0.385173, 2.79881, 0.829999
-0.383564, 2.80442, 0.831666
-0.381947, 2.81003, 0.833333
-0.380319, 2.81564, 0.834999
-0.378683, 2.82124, 0.836666
-0.377037, 2.82684, 0.838333
-0.375382, 2.83244, 0.839999
-0.373717, 2.83804, 0.841666
-0.372043, 2.84364, 0.843333
-0.37036, 2.84923, 0.844999
-0.368668, 2.85482, 0.846666
-0.366966, 2.8604, 0.848333
-0.365255, 2.86598, 0.849999
-0.363534, 2.87156, 0.851666
-0.361804, 2.87714, 0.853333
-0.360065, 2.88272, 0.854999
-0.358317, 2.88829, 0.856666
-0.35656, 2.89386, 0.858333
-0.354793, 2.89942, 0.859999
-0.353017, 2.90498, 0.861666
-0.351231, 2.91054, 0.863333
-0.349437, 2.9161, 0.864999
-0.347633, 2.92165, 0.866666
-0.345819, 2.9272, 0.868333
-0.343997, 2.93275, 0.869999
-0.342165, 2.9383, 0.871666
-0.340324, 2.94384, 0.873333
-0.338474, 2.94938, 0.874999
-0.336615, 2.95491, 0.876666
-0.334746, 2.96044, 0.878333
-0.332868, 2.96597, 0.879999
-0.330981, 2.9715, 0.881666
-0.329085, 2.97702, 0.883333
-0.32718, 2.98254, 0.884999
-0.325265, 2.98806, 0.886666
-0.323341, 2.99357, 0.888333
-0.321408, 2.99908, 0.889999
-0.319466, 3.00459, 0.891666
-0.317515, 3.01009, 0.893333
-0.315554, 3.01559, 0.894999
-0.313584, 3.02109, 0.896666
-0.311605, 3.02658, 0.898333
-0.309618, 3.03207, 0.899999
-0.30762, 3.03756, 0.901666
-0.305614, 3.04304, 0.903333
-0.303599, 3.04852, 0.904999
-0.301574, 3.054, 0.906666
-0.29954, 3.05947, 0.908333
-0.297498, 3.06494, 0.909999
-0.295446, 3.07041, 0.911666
-0.293385, 3.07587, 0.913333
-0.291314, 3.08133, 0.914999
-0.289235, 3.08679, 0.916666
-0.287147, 3.09224, 0.918333
-0.285049, 3.09769, 0.919999
-0.282943, 3.10314, 0.921666
-0.280827, 3.10858, 0.923333
-0.278703, 3.11402, 0.924999
-0.276569, 3.11946, 0.926666
-0.274426, 3.12489, 0.928333
-0.272274, 3.13032, 0.929999
-0.270113, 3.13574, 0.931666
-0.267944, 3.14116, 0.933333
-0.265765, 3.14658, 0.934999
-0.263577, 3.15199, 0.936666
-0.26138, 3.1574, 0.938332
-0.259174, 3.16281, 0.939999
-0.256959, 3.16821, 0.941666
-0.254735, 3.17361, 0.943332
-0.252502, 3.17901, 0.944999
-0.25026, 3.1844, 0.946666
-0.248009, 3.18979, 0.948332
-0.245749, 3.19517, 0.949999
-0.24348, 3.20055, 0.951666
-0.241202, 3.20593, 0.953332
-0.238915, 3.2113, 0.954999
-0.236619, 3.21667, 0.956666
-0.234315, 3.22203, 0.958332
-0.232001, 3.2274, 0.959999
-0.229678, 3.23275, 0.961666
-0.227347, 3.23811, 0.963332
-0.225006, 3.24346, 0.964999
-0.222657, 3.2488, 0.966666
-0.220299, 3.25414, 0.968332
-0.217932, 3.25948, 0.969999
-0.215556, 3.26482, 0.971666
-0.213171, 3.27015, 0.973332
-0.210777, 3.27547, 0.974999
-0.208374, 3.28079, 0.976666
-0.205963, 3.28611, 0.978332
-0.203542, 3.29143, 0.979999
-0.201113, 3.29674, 0.981666
-0.198675, 3.30204, 0.983332
-0.196228, 3.30734, 0.984999
-0.193772, 3.31264, 0.986666
-0.191308, 3.31793, 0.988332
-0.188834, 3.32322, 0.989999
-0.186352, 3.32851, 0.991666
-0.183861, 3.33379, 0.993332
-0.181361, 3.33907, 0.994999
-0.178852, 3.34434, 0.996666
-0.176335, 3.34961, 0.998332
-0.173809, 3.35487, 0.999999
-0.171273, 3.36014, 1.00167
-0.16873, 3.36539, 1.00333
-0.166177, 3.37064, 1.005
-0.163616, 3.37589, 1.00667
-0.161046, 3.38113, 1.00833
-0.158467, 3.38637, 1.01
-0.15588, 3.39161, 1.01167
-0.153284, 3.39684, 1.01333
-0.150679, 3.40206, 1.015
-0.148065, 3.40728, 1.01667
-0.145443, 3.4125, 1.01833
-0.142812, 3.41772, 1.02
-0.140172, 3.42292, 1.02167
-0.137524, 3.42813, 1.02333
-0.134867, 3.43333, 1.025
-0.132201, 3.43852, 1.02667
-0.129527, 3.44371, 1.02833
-0.126844, 3.4489, 1.03
-0.124152, 3.45408, 1.03167
-0.121452, 3.45926, 1.03333
-0.118743, 3.46443, 1.035
-0.116026, 3.4696, 1.03667
-0.113299, 3.47476, 1.03833
-0.110565, 3.47992, 1.04
-0.107821, 3.48508, 1.04167
-0.105069, 3.49023, 1.04333
-0.102309, 3.49537, 1.045
-0.09954, 3.50051, 1.04667
-0.0967624, 3.50565, 1.04833
-0.0939763, 3.51078, 1.05
-0.0911815, 3.51591, 1.05167
-0.0883782, 3.52103, 1.05333
-0.0855665, 3.52615, 1.055
-0.082746, 3.53126, 1.05667
-0.0799172, 3.53637, 1.05833
-0.07708, 3.54147, 1.06
-0.074234, 3.54657, 1.06167
-0.0713797, 3.55167, 1.06333
-0.068517, 3.55676, 1.065
-0.0656455, 3.56184, 1.06667
-0.0627658, 3.56692, 1.06833
-0.0598776, 3.572, 1.07
-0.0569808, 3.57707, 1.07167
-0.0540757, 3.58213, 1.07333
-0.0511622, 3.58719, 1.075
-0.0482402, 3.59225, 1.07667
-0.0453098, 3.5973, 1.07833
-0.042371, 3.60234, 1.08
-0.0394237, 3.60738, 1.08167
-0.036468, 3.61242, 1.08333
-0.033504, 3.61745, 1.085
-0.0305316, 3.62248, 1.08667
-0.0275509, 3.6275, 1.08833
-0.0245616, 3.63251, 1.09
-0.0215642, 3.63753, 1.09167
-0.0185583, 3.64253, 1.09333
-0.0155442, 3.64753, 1.095
-0.0125215, 3.65253, 1.09667
-0.00949073, 3.65752, 1.09833
-0.00645161, 3.66251, 1.1
-0.00340414, 3.66749, 1.10167
-0.00034833, 3.67246, 1.10333
0.00271583, 3.67743, 1.105
0.00578809, 3.6824, 1.10667
0.00886869, 3.68736, 1.10833
0.0119576, 3.69232, 1.11
0.0150547, 3.69727, 1.11167
0.0181601, 3.70221, 1.11333
0.0212736, 3.70715, 1.115
0.0243957, 3.71208, 1.11667
0.0275254, 3.71701, 1.11833
0.0306637, 3.72194, 1.12
0.0338104, 3.72686, 1.12167
0.0369649, 3.73177, 1.12333
0.0401278, 3.73668, 1.125
0.043299, 3.74158, 1.12667
0.046478, 3.74648, 1.12833
0.0496655, 3.75137, 1.13
0.052861, 3.75626, 1.13167
0.0560646, 3.76114, 1.13333
